scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_14-17-59,cf376506f1dee925,268.5,2026-03-09T21:22:19.421410+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q4_tech/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_14-17-59,cf376506f1dee925,357.82,2026-03-09T21:23:48.733224+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q2_rand8_1c8e1d3e/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_14-22-25,cf376506f1dee925,301.64,2026-03-09T21:27:21.069427+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2025Q1_tech/debate_1_round_no_macro_causal_out_001,logging/runs/default/run_2026-03-09_17-32-10,cf376506f1dee925,286.61,2026-03-10T00:36:50.306135+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q4_rand7_5ec96480/debate_1_round_no_macro_causal_out_001,logging/runs/default/run_2026-03-09_17-32-10,cf376506f1dee925,315.53,2026-03-10T00:37:19.219013+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q1_rand9_2aba5c03/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-36-55,cf376506f1dee925,314.54,2026-03-10T00:42:04.848594+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q2/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-37-25,cf376506f1dee925,330.8,2026-03-10T00:42:50.026530+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q3_rand3_1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-42-11,cf376506f1dee925,277.16,2026-03-10T00:46:42.011060+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand3_2.yaml,66ff4fbbcd038e6e,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q2_rand3_2/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-42-55,cf376506f1dee925,248.65,2026-03-10T00:46:58.674441+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2025Q2/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-46-48,cf376506f1dee925,301.24,2026-03-10T00:51:43.256297+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2021Q4/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-47-04,cf376506f1dee925,290.02,2026-03-10T00:51:48.697845+00:00,
config/scenarios/baseline_sweep/scenario_2023Q4_rand7_2.yaml,ea8a331a59724007,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q4_rand7_2/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-51-54,cf376506f1dee925,281.68,2026-03-10T00:56:24.943692+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1.yaml,e8efedeec1089b87,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-51-54,cf376506f1dee925,335.75,2026-03-10T00:57:24.454423+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_1.yaml,ff9eb3e57cfb26df,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q3_rand7_1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-56-31,cf376506f1dee925,252.3,2026-03-10T01:00:37.227496+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand7_1.yaml,551ed0c9873b835e,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q1_rand7_1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_17-57-31,cf376506f1dee925,297.39,2026-03-10T01:02:21.827938+00:00,
config/scenarios/baseline_sweep/scenario_2022Q2_rand8_5195513f.yaml,3ecf4d6a2bec151c,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q2_rand8_5195513f/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_18-00-43,cf376506f1dee925,308.32,2026-03-10T01:05:45.553270+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_2.yaml,264d4a6fc5c7fa68,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q3_rand7_2/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_18-02-28,cf376506f1dee925,285.18,2026-03-10T01:07:07.012426+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2_rand12_1.yaml,0e782098f6020024,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2025Q2_rand12_1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_18-05-53,cf376506f1dee925,293.83,2026-03-10T01:10:39.388067+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand7_1.yaml,92f5e2fc558c939c,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2023Q2_rand7_1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_18-07-14,cf376506f1dee925,309.79,2026-03-10T01:12:16.799396+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand4_d6d02e7e.yaml,d15db0e59979d2b1,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q1_rand4_d6d02e7e/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_18-10-45,cf376506f1dee925,243.66,2026-03-10T01:14:43.055215+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand3_1.yaml,fd0c6c1954688562,results/scenario_runs/debate_1_round_no_macro_causal_out/scenario_2022Q1_rand3_1/debate_1_round_no_macro_causal_out,logging/runs/default/run_2026-03-09_18-12-24,cf376506f1dee925,209.42,2026-03-10T01:15:46.224253+00:00,
